scenario,run,tempo_s,note
rviz_solo,1,,
rviz_solo,2,,
rviz_solo,3,,
rviz_solo,4,,
rviz_solo,5,,
moveit_fake,1,,
moveit_fake,2,,
moveit_fake,3,,
moveit_fake,4,,
moveit_fake,5,,
rviz_solo,1758216902,1.465,
moveit_fake,1758216906,1.514,
rviz_solo,1758217059,1.282,
moveit_fake,1758217064,1.350,
rviz_solo,1758217683,1.276,
rviz_solo,1758217685,1.258,
rviz_solo,1758217688,1.270,
rviz_solo,1758217709,20.007,
rviz_solo,1758217711,1.315,
moveit_fake,1758217715,1.274,
moveit_fake,1758217720,1.226,
moveit_fake,1758217724,1.214,
moveit_fake,1758217729,2.065,
moveit_fake,1758217734,1.551,
