planner,ostacolo,planning_time_s,success
RRTConnect,no,5.01,0
RRTConnect,no,0.02,1
RRTConnect,no,0.018,1
RRTConnect,no,0.018,1
RRTConnect,no,0.021,1
RRTStar,no,5.003,0
RRTStar,no,5.01,1
RRTStar,no,5.002,1
RRTStar,no,5.002,1
RRTStar,no,5.001,1
RRTStar,no,5.002,1
RRTConnect,si,0.0,0
RRTConnect,si,0.02,1
RRTConnect,si,0.025,1
RRTConnect,si,0.019,1
RRTConnect,si,0.02,1
RRTConnect,si,0.019,1
RRTConnect,si,0.02,1
RRTConnect,si,0.021,1
RRTConnect,si,0.019,1
RRTConnect,si,0.019,1
RRTStar,si,1.002,1
RRTStar,si,1.006,1
RRTStar,si,1.008,1
RRTStar,si,1.002,1
RRTStar,si,1.001,1
RRTStar,si,1.002,1
RRTStar,si,1.002,1
RRTStar,si,1.002,1
RRTStar,si,1.005,1
RRTStar,si,1.007,1
RRTStar,si,1.002,1
